month_date,category_id,final_count_forecast,final_cost_forecast,date_load
2023-06-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.0317961871624,49238.885790109634,2024-12-16
2023-07-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.0317961871624,49238.91439475119,2024-12-16
2023-08-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.03184497356415,49238.94299939275,2024-12-16
2023-09-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.03184497356415,49238.962069153786,2024-12-16
2023-10-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.0318937599659,49238.99067379534,2024-12-16
2023-11-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.0318937599659,49239.0192784369,2024-12-16
2023-12-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.03194254636765,49239.03834819794,2024-12-16
2024-01-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.03204011917114,49238.82858082652,2024-12-16
2024-02-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.03201572597027,49238.83334826678,2024-12-16
2024-03-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.03201572597027,49238.83811570704,2024-12-16
2024-04-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.03194254636765,49238.84765058756,2024-12-16
2024-05-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.03184497356415,49238.8667203486,2024-12-16
2024-06-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.0317961871624,49238.876255229115,2024-12-16
2024-07-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.0317961871624,49238.90485987067,2024-12-16
2024-08-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.0317961871624,49238.93346451223,2024-12-16
2024-09-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.0318937599659,49238.962069153786,2024-12-16
2024-10-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.0318937599659,49238.9954412356,2024-12-16
2024-11-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.0318937599659,49239.0192784369,2024-12-16
2024-12-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.03194254636765,49239.03834819794,2024-12-16
2025-01-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.03206451237202,49238.82858082652,2024-12-16
2025-02-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.03204011917114,49238.82858082652,2024-12-16
2025-03-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.0319913327694,49238.83811570704,2024-12-16
2025-04-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.03196693956852,49238.84765058756,2024-12-16
2025-05-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.0318937599659,49238.86195290834,2024-12-16
2025-06-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.03184497356415,49238.881022669375,2024-12-16
2025-07-01,fd7bbd78-7654-11eb-a224-00155d42eb06,84.03184497356415,49238.90009243041,2024-12-16
